OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO,ARC,ID_COUNTY,ID_TRACT_00,ID_TRACT_10,ID_TRACT_20,ID_BLKGRP_00,ID_BLKGRP_10,ID_BLKGRP_20
33,542800,MEADOWFILL LANDFILL,1488 DAWSON DR,BRIDGEPORT,WV,26330,9727,(304) 842-2784,"MUNICIPAL, C&D",OPEN,HARRISON,54033,USA,39.3391912521746,-80.2637032376143,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www1.wmsolutions.com/facilities/details/id/242,110001933132,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,SWF 1032,in ARC,54033,54033032000,54033032000,54033032000,540330320002,540330320002,540330320002
36,391917,JEHM ENTERPRISES LLC,12505 E GYPSY LN RD,BOWLING GREEN,OH,43402,NOT AVAILABLE,(419) 446-8281,C&D,OPEN,WOOD,39173,USA,41.3545476577482,-83.6407553407863,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY,1583712000000,http://jehmdisposal.com/,NOT AVAILABLE,12/31/2018,"JEHM ENTERPRISES, LLC",NOT AVAILABLE,CDDL018857,not ARC,39173,NA,NA,NA,NA,NA,NA
37,391925,LUCAS COUNTY LANDFILL LLC,6196 HAGMAN RD,TOLEDO,OH,43612,NOT AVAILABLE,(419) 726-9465,C&D,CLOSED,LUCAS,39095,USA,41.7311126770085,-83.5086215840188,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY,1583712000000,https://www.co.lucas.oh.us/index.aspx?NID=749,NOT AVAILABLE,12/31/2018,LUCAS COUNTY LANDFILL,NOT AVAILABLE,CDDL018839,not ARC,39095,NA,NA,NA,NA,NA,NA
38,542793,BROOKE/VALERO LANDFILL,HARMON CREEK ROAD,COLLIERS,WV,26062,NOT AVAILABLE,(304) 748-0014,MUNICIPAL,OPEN,BROOKE,54009,USA,40.3794885823323,-80.5802962656601,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.brookecountyswa.com/faq/faq.html,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SWF 1013,in ARC,54009,54009031100,54009031101,54009031104,540090311001,540090311012,540090311042
39,542794,CITY OF CHARLESTON LANDFILL,LANDFILL RD OFF SOUTH PARK RD,CHARLESTON,WV,25304,NOT AVAILABLE,(304) 436-6608,MUNICIPAL,OPEN,KANAWHA,54039,USA,38.3144882166579,-81.6161271227685,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www1.wmsolutions.com/facilities/details/id/239,NOT AVAILABLE,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,SWF 1004,in ARC,54039,54039001800,54039001800,54039001800,540390018003,540390018003,540390018003
41,542797,GREENBRIAR COUNTY SWA LANDFILL,HARPER ROAD,LEWISBURG,WV,24901,NOT AVAILABLE,(304) 645-2489,"MUNICIPAL, C&D",OPEN,GREENBRIER,54025,USA,37.8180501633844,-80.3789266408518,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.greenbrier-swa.com/landfill.htm,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SWF-2068-94/WV0109452,in ARC,54025,54025950400,54025950400,54025950402,540259504004,540259504004,540259504022
42,542804,POCAHONTAS COUNTY SOLID WASTE,COUNTY ROAD 28,DUNMORE,WV,24954,NOT AVAILABLE,(304) 799-4199,"MUNICIPAL, C&D",OPEN,POCAHONTAS,54075,USA,38.2804742569814,-79.9377067498665,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.pocahontascounty.wv.gov/services/Pages/SolidWasteDisposalServices.aspx,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SWF 2001,in ARC,54075,54075960200,54075960200,54075960202,540759602004,540759602003,540759602021
43,542809,TUCKER COUNTY LANDFILL,COUNTY ROAD 32,DAVIS,WV,26292,NOT AVAILABLE,(304) 259-5580,MUNICIPAL,OPEN,TUCKER,54093,USA,39.138908215242,-79.47586457519,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.tuckercountycommission.com/index.php/government/county-boards/solid-waste-authority,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SWF 8295,in ARC,54093,54093965300,54093965300,54093965300,540939653001,540939653002,540939653002
71,542803,NORTHWESTERN LANDFILL,510 EAST DRY RUN RD,PARKERSBURG,WV,26104,NOT AVAILABLE,(304) 428-0602,MUNICIPAL,OPEN,WOOD,54107,USA,39.2520770210377,-81.4918556314322,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.woodcountyrecycles.com/index.php/landfill-facts,110034181515,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,in ARC,54107,54107010701,54107010701,54107010706,541070107012,541070107012,541070107062
72,542795,COPPER RIDGE LANDFILL,ROUTE 7,CAPELS,WV,24801,NOT AVAILABLE,(304) 888-1178,MUNICIPAL,OPEN,MCDOWELL,54047,USA,37.4511165765688,-81.5951860545927,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://dep.wv.gov/WWE/permit/solidwaste/Pages/default.aspx,1568937600000,IMAGERY/OTHER,1573516800000,http://www.esiwaste.com/waste-recycling-centers-locations/landfills/copper-ridge-landfill/,110037606677,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SWF 1033,in ARC,54047,54047953800,54047953800,54047953800,540479538001,540479538002,540479538002
75,391885,C&R ENTERPRISES C&D LANDFILL,1231 TOWNSHIP RD 1175,ASHLAND,OH,44805,NOT AVAILABLE,(419) 289-1000,C&D,CLOSED,ASHLAND,39005,USA,40.8871882799152,-82.2905552011616,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,not ARC,39005,NA,NA,NA,NA,NA,NA
84,391969,WRIGHT REFUSE INC TRANSFER STATION,1400 S METCALF ST,LIMA,OH,45804,NOT AVAILABLE,(419) 224-3636,TRANSFER,OPEN,ALLEN,39003,USA,40.7162099935964,-84.1154464272108,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,ALLEN CO REFUSE METCALF ST TRANSFER STATION,NOT AVAILABLE,SWTF018460,not ARC,39003,NA,NA,NA,NA,NA,NA
85,392025,WASTE MANAGEMENT OF OHIO INC - LIMA,1555 BUCKEYE RD,LIMA,OH,45804,NOT AVAILABLE,(567) 242-6181,TRANSFER,OPEN,ALLEN,39003,USA,40.7081618643786,-84.1331401549941,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"WASTE MANAGEMENT OF OHIO, LIMA TRANSFER STATION",NOT AVAILABLE,SWTF018371,not ARC,39003,NA,NA,NA,NA,NA,NA
86,391989,HAMILTON TRANSFER FACILITY,1000 N 3RD ST,HAMILTON,OH,45011,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,BUTLER,39017,USA,39.4132598160877,-84.5522943468066,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,RUMPKE,NOT AVAILABLE,SWTF018441,not ARC,39017,NA,NA,NA,NA,NA,NA
87,391995,KIMBLE TRANSFER & RECYCLING,2403 CHASE RD SE,CARROLLTON,OH,44615,NOT AVAILABLE,(330) 343-1226,TRANSFER,OPEN,CARROLL,39019,USA,40.5720912102412,-81.0359189781782,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,KEITH B KIMBLE,NOT AVAILABLE,SWTF018374,in ARC,39019,39019720600,39019720600,39019720600,390197206001,390197206001,390197206001
88,391974,RUMPKE WASTE INC BROADVIEW HEIGHTS TRANSFER FACILITY,9191 POSTAL DR,BROADVIEW HEIGHTS,OH,44147,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.3161557650765,-81.6700118440713,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,RUMPKE WASTE INC,NOT AVAILABLE,SWTF018378,not ARC,39035,NA,NA,NA,NA,NA,NA
89,391980,CLEVELAND TRANSFER/RECYCLING STATION,7450 OAKLEAF RD,OAKWOOD VILLAGE,OH,44146,NOT AVAILABLE,(440) 201-1123,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.361101232436,-81.5168025354087,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CLEVELAND TRANSFER STATION,NOT AVAILABLE,SWTF018383,not ARC,39035,NA,NA,NA,NA,NA,NA
90,391984,EUCLID TRANSFER FACILTITY,27700 LAKELAND BLVD,EUCLID,OH,44132,NOT AVAILABLE,(216) 289-2701,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.606227784185,-81.4909987906616,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,UNVERIFIED,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CITY OF EUCLID,NOT AVAILABLE,SWTF018388,not ARC,39035,NA,NA,NA,NA,NA,NA
91,392015,ROCKY RIVER TRANSFER FACILITY,22401 LAKE RD,ROCKY RIVER,OH,44116,NOT AVAILABLE,(440) 331-0600,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.4808427289088,-81.8662980186386,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CITY OF ROCKY RIVER,NOT AVAILABLE,SWTF018384,not ARC,39035,NA,NA,NA,NA,NA,NA
100,392016,SHAKER HEIGHTS TRANSFER FACILITY,15600 CHAGRIN BLVD,SHAKER HEIGHTS,OH,44120,NOT AVAILABLE,(216) 491-1499,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.4640026403097,-81.57186838222,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CITY OF SHAKER HEIGHTS,NOT AVAILABLE,SWTF018385,not ARC,39035,NA,NA,NA,NA,NA,NA
101,392018,STRONGSVILLE TRANSFER FACILITY,16099 FOLTZ INDUSTRIAL PKWY,STRONGSVILLE,OH,44149,NOT AVAILABLE,(440) 580-3170,TRANSFER,OPEN,CUYAHOGA,39035,USA,41.2988870263152,-81.8684183915955,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CITY OF STRONGSVILLE,NOT AVAILABLE,SWTF018386,not ARC,39035,NA,NA,NA,NA,NA,NA
102,391988,RUMPKE WASTE INC GREENVILLE TRANSFER FACILITY,5474 JAYSVILLE-ST JOHNS RD,GREENVILLE,OH,45331,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,DARKE,39037,USA,40.0741178640482,-84.6008693151667,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"RUMPKE WASTE, INC.",NOT AVAILABLE,SWTF018389,not ARC,39037,NA,NA,NA,NA,NA,NA
103,391982,DELEWARE COUNTY TRANSFER FACLITY,888 US RTE 42 N,DELAWARE,OH,43015,NOT AVAILABLE,(740) 833-2000,TRANSFER,OPEN,DELAWARE,39041,USA,40.3127585303819,-83.0458905778878,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,DEALWARE COUNTY BOARD OF COMMISSIONERS,NOT AVAILABLE,SWTF018390,not ARC,39041,NA,NA,NA,NA,NA,NA
104,391999,LANCASTER SANITATION DEPARTMENT,743 S EWING ST,LANCASTER,OH,43130,NOT AVAILABLE,(740) 687-6660,TRANSFER,OPEN,FAIRFIELD,39045,USA,39.7033348749046,-82.5782740092381,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"CITY OF LANCASTER, SANITATION DEPT",NOT AVAILABLE,SWTF018392,not ARC,39045,NA,NA,NA,NA,NA,NA
