FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area,ID_COUNTY,ID_TRACT_00,ID_TRACT_10,ID_TRACT_20,ID_BLKGRP_00,ID_BLKGRP_10,ID_BLKGRP_20
44,10006643,ABRAXAS I,165 ABRAXAS ROAD,MARIENVILLE,PA,16239,-999,(800) 352-3402,STATE,OPEN,-999,FOREST,42053,USA,922140,CORRECTIONAL INSTITUTIONS,https://abraxasyfs.com/abraxas-academy.html,2018-01-05T00:00:00Z,IMAGERY/OTHER,2020-01-28T00:00:00Z,https://abraxasyfs.com/abraxas-1.html,JUVENILE,204,0.0129010432566,{13629D70-5EB3-46CD-A1E7-B84305DF3D7B},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.012901043256585955,1.05573741406e-5,42053,42053980100,42053530100,42053530100,420539801001,420535301001,420535301001
55,10000729,YOUTH FORESTRY CAMP #3,4534 TARKILN ROAD,JAMES CREEK,PA,16657,-999,(814) 658-3492,STATE,OPEN,24,HUNTINGDON,42061,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.dhs.pa.gov/Services/Children/Pages/Forestry-Programs.aspx,2015-08-12T00:00:00Z,IMAGERY/OTHER,2020-01-31T00:00:00Z,https://www.dhs.pa.gov/Services/Children/Pages/Forestry-Programs.aspx,JUVENILE,50,0.0128657391144,{EDF0D340-4FE1-409D-AF04-E5A8CB9618C5},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.012865739114350733,6.98455128607e-6,42061,42061950800,42061950800,42061950800,420619508004,420619508004,420619508003
192,10004024,FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,21502,-999,(301) 784-1000,FEDERAL,OPEN,1011,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016-02-16T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,https://www.bop.gov/locations/,MEDIUM,768,0.0162582928092,{FE6F8C2D-E906-458E-8047-986870514BFF},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.016258292809185174,1.75687304116e-5,24001,24001000200,24001000200,24001000200,240010002001,240010002003,240010002003
255,10003085,CRESSON SECURE TREATMENT FACILITY,251 CORRECTIONS RD,CRESSON,PA,16630,-999,(814) 886-6903,STATE,CLOSED,0,CAMBRIA,42021,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tribdem.com/news/another-blow-to-cresson-state-to-close-juvenile-treatment-center/article_7ea3b78a-4529-11e5-a611-e3b5be677acf.html,2015-08-17T00:00:00Z,IMAGERY/OTHER,2020-01-29T00:00:00Z,http://www.jri.org/services/residential-educational-services/justice-programs/cresson-secure-treatment-unit,JUVENILE,52,0.00354755226525,{63AB6C2C-A6D1-46C3-B01B-240D7459CB22},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0035475522652501745,7.75829037406e-7,42021,42021012800,42021012800,42021012800,420210128002,420210128002,420210128002
419,10001024,CLEVELAND CORRECTIONAL CENTER,260 KEMPER RD,SHELBY,NC,28152,-999,(704) 480-5428,STATE,CLOSED,0,CLEVELAND,37045,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www2.ncdps.gov/Index2.cfm?a=000003,002240,002324",2015-11-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,"https://www.ncdps.gov/Index2.cfm?a=000003,002240,002324",MEDIUM,142,0.00532324416606,{4C5E874A-6EBE-492E-B51A-667A1DEEA017},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.005323244166060082,1.46489908021e-6,37045,37045950700,37045950700,37045950701,370459507003,370459507003,370459507013
495,10000758,CAMP PHARSALIA,496 CENTER RD,SOUTH PLYMOUTH,NY,13844,-999,NOT AVAILABLE,STATE,CLOSED,0,CHENANGO,36017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.evesun.com/news/stories/2009-05-01/6857/Camp-Pharsalia-to-be-closed-by-July-1,2009-05-01T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.evesun.com/news/stories/2009-05-01/6857/Camp-Pharsalia-to-be-closed-by-July-1,MINIMUM,258,0.0238515750589,{BCC748F4-476C-4613-A041-1868B01EFAF3},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.023851575058881854,1.3965673788e-5,36017,36017990200,36017970200,36017970201,360179902004,360179702003,360179702011
552,10000760,LAKEVIEW SHOCK INCARCERATION CF - ANNEX,9300 LAKE AVE,BROCTON,NY,14716,-999,(716) 792-7100,STATE,OPEN,0,CHAUTAUQUA,36013,USA,922140,CORRECTIONAL INSTITUTIONS,https://doccs.ny.gov/location/lakeview-shock-incarceration-correctional-facility,2015-11-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://doccs.ny.gov/location/lakeview-shock-incarceration-correctional-facility,MEDIUM,160,0.0130952043732,{9C48C613-C790-4B77-AB12-0C783A554B92},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.013095204373190084,7.93442212079e-6,36013,36013036300,36013036300,36013036300,360130363001,360130363001,360130363001
819,10001547,ROXBURY CORRECTIONAL INSTITUTION,18701 ROXBURY RD,HAGERSTOWN,MD,21746,-999,(240) 420-3000,STATE,OPEN,1749,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://dpscs.maryland.gov/locations/rci.shtml,MEDIUM,1700,0.0163997491432,{75EBCBAF-B9E2-44C9-99DB-BC350A25EC09},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.016399749143189698,1.61537162991e-5,24043,24043011000,24043011000,24043011000,240430110003,240430110003,240430110001
831,10006377,JOHNSTOWN CCC,301 WASHINGTON STREET,JOHNSTOWN,PA,15901,-999,(814) 533-2416,STATE,OPEN,0,CAMBRIA,42021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.tribdem.com/news/controversial-community-corrections-facility-opens-its-doors-for-inside-look/article_e278f520-e2f8-11e8-8d23-6b79b1c98eed.html,2017-10-10T00:00:00Z,IMAGERY/OTHER,2020-01-29T00:00:00Z,NOT AVAILABLE,MINIMUM,-999,0.00122514684955,{24E69288-813B-4A1C-9D60-4CBAD897D278},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.001225146849553369,8.01966407198e-8,42021,42021000100,42021000100,42021000100,420210001002,420210001002,420210001002
834,10006379,PROGRESS CCC,179 PROGRESS AVENUE,WAYNESBURG,PA,15370,8090,(724) 852-5560,STATE,OPEN,0,GREENE,42059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.cor.pa.gov/Facilities/CommunityCorrections/Documents/Region%203.pdf,2017-10-10T00:00:00Z,IMAGERY/OTHER,2020-01-30T00:00:00Z,http://www.cor.pa.gov/Facilities/CommunityCorrections/Pages/default.aspx#.VmXGTrgrJaQ,MINIMUM,-999,0.0054149537766,{A6AF74BA-A6F6-46A0-B21A-F6E27B709352},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.00541495377659707,7.03334283119e-7,42059,42059970500,42059970501,42059970501,420599705002,420599705011,420599705012
